ID_Paket,ID_Pengirim,ID_Penerima,ID_Layanan,ID_Admin,hari_kirim,tanggal_kirim,waktu_kirim,jenis_paket,berat_paket,harga_paket,biaya
20037,01097,02063,0403,11037,Thu,6-Feb-2020,1514,Dokumen,0.6,6000,12000
20038,01073,02059,0402,11038,Fri,7-Feb-2020,0831,Dokumen,0.7,6000,12000
20039,01007,02081,0401,11039,Sat,8-Feb-2020,1606,Dokumen,0.2,6000,6000
20040,01069,02088,0401,11040,Sun,9-Feb-2020,1510,Dokumen,0.7,6000,8000
20041,01032,02035,0401,11041,Mon,10-Feb-2020,1229,Dokumen,0.7,6000,6000
20042,01087,02086,0403,11042,Tue,11-Feb-2020,0938,Dokumen,0.6,6000,24000
20043,01056,02074,0402,11043,Wed,12-Feb-2020,1034,Dokumen,0.5,6000,12000
20044,01078,02093,0401,11044,Thu,13-Feb-2020,1158,Dokumen,0.5,6000,6000
20045,01033,02007,0403,11045,Fri,14-Feb-2020,1241,Dokumen,0.9,6000,12000
20046,01088,02049,0402,11046,Sat,15-Feb-2020,0835,Dokumen,0.8,6000,16000
20047,01042,02035,0403,11047,Sun,16-Feb-2020,1451,Dokumen,0.8,6000,12000
20048,01030,02034,0401,11048,Mon,17-Feb-2020,1311,Dokumen,0.2,6000,15000
20049,01053,02064,0402,11049,Tue,18-Feb-2020,1201,Dokumen,0.7,6000,8000
20050,01067,02094,0402,11050,Wed,19-Feb-2020,0913,Dokumen,0.2,6000,30000
20051,01047,02044,0403,11051,Thu,20-Feb-2020,1552,Dokumen,0.3,6000,45000
20052,01010,02002,0402,11052,Fri,21-Feb-2020,1433,Dokumen,0.4,6000,16000
20053,01005,02092,0402,11053,Sat,22-Feb-2020,0743,Dokumen,0.9,6000,8000
20054,01086,02071,0401,11054,Sun,23-Feb-2020,0746,Dokumen,0.2,6000,6000
20055,01092,02065,0401,11055,Mon,24-Feb-2020,0940,Dokumen,0.9,6000,15000
20056,01013,02072,0401,11056,Tue,25-Feb-2020,0832,Dokumen,0.7,6000,6000
20057,01009,02077,0402,11057,Wed,26-Feb-2020,1004,Dokumen,0.2,6000,30000
20058,01013,02074,0402,11058,Thu,27-Feb-2020,0919,Dokumen,0.2,6000,8000
20059,01097,02056,0403,11059,Fri,28-Feb-2020,0736,Dokumen,0.3,6000,45000
20060,01059,02087,0401,11060,Sat,29-Feb-2020,0819,Dokumen,0.4,6000,15000
20061,01069,02062,0403,11061,Sun,1-Mar-2020,1205,Dokumen,0.4,6000,18000
20062,01070,02086,0403,11062,Mon,2-Mar-2020,1537,Dokumen,0.8,6000,24000
20063,01082,02071,0402,11063,Tue,3-Mar-2020,1404,Dokumen,0.4,6000,8000
20064,01053,02053,0402,11064,Wed,4-Mar-2020,0935,Dokumen,0.2,6000,12000
20065,01030,02009,0402,11065,Thu,5-Mar-2020,1645,Dokumen,0.8,6000,8000
20066,01080,02047,0403,11066,Fri,6-Mar-2020,1546,Dokumen,0.6,6000,45000
20067,01024,02088,0402,11067,Sat,7-Mar-2020,1139,Dokumen,0.4,6000,16000
20068,01072,02090,0402,11068,Sun,8-Mar-2020,1623,Dokumen,0.6,6000,16000
20069,01051,02037,0401,11069,Mon,9-Mar-2020,1613,Dokumen,0.6,6000,8000
20070,01058,02060,0402,11070,Tue,10-Mar-2020,0704,Dokumen,0.2,6000,8000
20071,01064,02035,0402,11071,Wed,11-Mar-2020,0714,Dokumen,0.1,6000,30000
20072,01006,02047,0403,11072,Thu,12-Mar-2020,0712,Dokumen,0.8,6000,12000
20073,01069,02068,0403,11073,Fri,13-Mar-2020,1423,Dokumen,0.4,6000,45000
20074,01060,02052,0401,11074,Sat,14-Mar-2020,1604,Dokumen,0.5,6000,8000
20075,01096,02035,0403,11075,Sun,15-Mar-2020,0908,Dokumen,0.2,6000,12000
20076,01065,02003,0403,11076,Mon,16-Mar-2020,1412,Dokumen,0.7,6000,45000
20077,01036,02039,0402,11077,Tue,17-Mar-2020,1130,Dokumen,0.3,6000,12000
20078,01061,02083,0402,11078,Wed,18-Mar-2020,1411,Dokumen,0.4,6000,30000
20079,01055,02032,0401,11079,Thu,19-Mar-2020,1553,Dokumen,0.7,6000,4000
20080,01027,02073,0401,11080,Fri,20-Mar-2020,1413,Dokumen,0.4,6000,6000
20081,01099,02100,0403,11081,Sat,21-Mar-2020,1614,Dokumen,0.8,6000,12000
20082,01072,02071,0403,11082,Sun,22-Mar-2020,1340,Dokumen,0.6,6000,12000
20083,01033,02078,0401,11083,Mon,23-Mar-2020,0809,Dokumen,0.2,6000,4000
20084,01050,02024,0401,11084,Tue,24-Mar-2020,0835,Dokumen,0.4,6000,15000
20085,01007,02006,0403,11085,Wed,25-Mar-2020,1023,Dokumen,0.9,6000,24000
20086,01038,02078,0402,11086,Thu,26-Mar-2020,1047,Dokumen,0.8,6000,30000
20087,01040,02083,0403,11087,Fri,27-Mar-2020,1507,Dokumen,0.1,6000,45000
20088,01012,02065,0401,11088,Sat,28-Mar-2020,1030,Dokumen,0.2,6000,6000
20089,01068,02026,0401,11089,Sun,29-Mar-2020,1106,Dokumen,0.4,6000,8000
20090,01095,02052,0403,11090,Mon,30-Mar-2020,1553,Dokumen,0.4,6000,45000
20091,01055,02034,0401,11091,Tue,31-Mar-2020,0754,Dokumen,0.3,6000,8000
20092,01079,02062,0402,11092,Wed,1-Apr-2020,1529,Dokumen,0.6,6000,30000
20093,01026,02040,0402,11093,Thu,2-Apr-2020,1103,Dokumen,0.5,6000,16000
20094,01076,02052,0401,11094,Fri,3-Apr-2020,1011,Dokumen,0.7,6000,15000
20095,01082,02003,0402,11095,Sat,4-Apr-2020,1350,Dokumen,0.6,6000,30000
20096,01036,02053,0402,11096,Sun,5-Apr-2020,1008,Dokumen,0.1,6000,8000
20097,01066,02011,0401,11097,Mon,6-Apr-2020,0744,Dokumen,0.8,6000,6000
20098,01047,02069,0401,11098,Tue,7-Apr-2020,1448,Dokumen,0.7,6000,4000
20099,01049,02003,0401,11099,Wed,8-Apr-2020,0846,Dokumen,0.6,6000,15000
20100,01094,02027,0401,11100,Thu,9-Apr-2020,1518,Dokumen,0.7,6000,8000
20101,01085,02095,0403,11001,Fri,10-Apr-2020,1055,Makanan,2.0,20000,12000
20102,01082,02005,0403,11002,Sat,11-Apr-2020,1328,Makanan,0.7,20000,18000
20103,01068,02029,0403,11003,Sun,12-Apr-2020,1437,Makanan,3.3,20000,24000
20104,01051,02016,0403,11004,Mon,13-Apr-2020,1402,Makanan,3.5,20000,18000
20105,01089,02010,0403,11005,Tue,14-Apr-2020,1122,Makanan,3.5,20000,24000
20106,01049,02085,0401,11006,Wed,15-Apr-2020,1223,Makanan,1.3,20000,15000
20107,01095,02043,0403,11007,Thu,16-Apr-2020,0930,Makanan,0.7,20000,45000
20108,01007,02030,0401,11008,Fri,17-Apr-2020,0943,Makanan,0.6,20000,8000
20109,01064,02014,0402,11009,Sat,18-Apr-2020,1546,Makanan,3.8,20000,30000
20110,01063,02006,0402,11010,Sun,19-Apr-2020,1642,Makanan,3.0,20000,16000
20111,01080,02014,0401,11011,Mon,20-Apr-2020,1130,Makanan,4.6,20000,4000
20112,01004,02028,0403,11012,Tue,21-Apr-2020,1454,Makanan,0.8,20000,45000
20113,01012,02084,0403,11013,Wed,22-Apr-2020,0741,Makanan,3.7,20000,18000
20114,01041,02085,0403,11014,Thu,23-Apr-2020,1327,Makanan,1.6,20000,12000
20115,01065,02047,0401,11015,Fri,24-Apr-2020,0943,Makanan,0.9,20000,15000
20116,01047,02079,0401,11016,Sat,25-Apr-2020,1604,Makanan,2.3,20000,15000
20117,01073,02084,0403,11017,Sun,26-Apr-2020,1330,Makanan,2.3,20000,18000
20118,01042,02006,0401,11018,Mon,27-Apr-2020,1117,Makanan,2.1,20000,8000
20119,01096,02033,0401,11019,Tue,28-Apr-2020,1451,Makanan,3.3,20000,6000
20120,01010,02023,0402,11020,Wed,29-Apr-2020,1408,Makanan,4.4,20000,8000
20121,01003,02076,0403,11021,Thu,30-Apr-2020,0753,Makanan,3.7,20000,45000
20122,01029,02020,0403,11022,Fri,1-May-2020,1022,Makanan,1.2,20000,12000
20123,01074,02011,0401,11023,Sat,2-May-2020,0744,Makanan,4.2,20000,4000
20124,01047,02054,0401,11024,Sun,3-May-2020,1637,Makanan,0.8,20000,4000
20125,01075,02044,0403,11025,Mon,4-May-2020,1029,Makanan,4.3,20000,12000
20126,01041,02031,0401,11026,Tue,5-May-2020,0905,Makanan,4.8,20000,15000
20127,01041,02039,0402,11027,Wed,6-May-2020,1022,Makanan,4.5,20000,30000
20128,01074,02030,0402,11028,Thu,7-May-2020,1108,Makanan,4.7,20000,16000
20129,01027,02015,0401,11029,Fri,8-May-2020,0918,Makanan,1.6,20000,15000
20130,01075,02068,0401,11030,Sat,9-May-2020,0913,Makanan,2.8,20000,4000
20131,01071,02097,0402,11031,Sun,10-May-2020,1304,Makanan,1.3,20000,30000
20132,01058,02069,0401,11032,Mon,11-May-2020,0730,Makanan,0.5,20000,4000
20133,01100,02087,0403,11033,Tue,12-May-2020,1116,Makanan,4.9,20000,45000
20134,01016,02086,0402,11034,Wed,13-May-2020,1257,Makanan,1.5,20000,30000
20135,01042,02047,0403,11035,Thu,14-May-2020,1144,Makanan,4.4,20000,45000
20136,01049,02062,0403,11036,Fri,15-May-2020,1440,Makanan,0.6,20000,24000
20137,01037,02053,0402,11037,Sat,16-May-2020,1337,Makanan,4.5,20000,30000
20138,01068,02099,0401,11038,Sun,17-May-2020,0917,Makanan,3.8,20000,4000
20139,01077,02046,0402,11039,Mon,18-May-2020,1015,Makanan,3.6,20000,30000
20140,01016,02090,0402,11040,Tue,19-May-2020,1225,Makanan,2.1,20000,30000
20141,01012,02023,0402,11041,Wed,20-May-2020,1110,Makanan,4.4,20000,8000
20142,01029,02070,0402,11042,Thu,21-May-2020,0743,Makanan,2.1,20000,16000
20143,01063,02058,0402,11043,Fri,22-May-2020,1216,Makanan,4.8,20000,8000
20144,01093,02063,0403,11044,Sat,23-May-2020,1433,Makanan,0.7,20000,45000
20145,01057,02085,0402,11045,Sun,24-May-2020,1226,Makanan,3.6,20000,30000
20146,01046,02009,0402,11046,Mon,25-May-2020,0944,Makanan,1.8,20000,30000
20147,01021,02088,0402,11047,Tue,26-May-2020,1026,Makanan,0.7,20000,8000
20148,01086,02046,0401,11048,Wed,27-May-2020,1544,Makanan,2.0,20000,15000
20149,01081,02006,0402,11049,Thu,28-May-2020,1003,Makanan,4.4,20000,16000
20150,01004,02064,0402,11050,Fri,29-May-2020,1321,Makanan,1.4,20000,30000
20151,01030,02042,0402,11051,Sat,30-May-2020,1219,Makanan,4.5,20000,30000
20152,01036,02042,0401,11052,Sun,31-May-2020,0816,Makanan,2.0,20000,6000
20153,01075,02089,0401,11053,Mon,1-Jun-2020,1049,Makanan,1.5,20000,15000
20154,01030,02054,0401,11054,Tue,2-Jun-2020,1255,Makanan,4.1,20000,15000
20155,01027,02058,0402,11055,Wed,3-Jun-2020,1456,Makanan,1.4,20000,8000
20156,01082,02047,0403,11056,Thu,4-Jun-2020,1117,Makanan,4.0,20000,45000
20157,01079,02046,0403,11057,Fri,5-Jun-2020,1302,Makanan,4.1,20000,12000
20158,01091,02061,0402,11058,Sat,6-Jun-2020,0944,Makanan,2.5,20000,16000
20159,01055,02027,0401,11059,Sun,7-Jun-2020,1421,Makanan,2.2,20000,6000
20160,01076,02054,0402,11060,Mon,8-Jun-2020,1048,Makanan,3.9,20000,30000
20161,01030,02083,0401,11061,Tue,9-Jun-2020,0807,Makanan,0.8,20000,4000
20162,01018,02099,0401,11062,Wed,10-Jun-2020,1223,Makanan,0.9,20000,8000
20163,01054,02013,0401,11063,Thu,11-Jun-2020,1059,Makanan,4.1,20000,15000
20164,01017,02023,0402,11064,Fri,12-Jun-2020,1433,Makanan,2.3,20000,30000
20165,01091,02037,0403,11065,Sat,13-Jun-2020,1629,Makanan,1.1,20000,12000
20166,01026,02038,0402,11066,Sun,14-Jun-2020,1207,Makanan,2.4,20000,30000
20167,01036,02086,0401,11067,Mon,15-Jun-2020,1601,Makanan,1.8,20000,8000
20168,01083,02097,0403,11068,Tue,16-Jun-2020,1131,Makanan,2.7,20000,12000
20169,01053,02009,0403,11069,Wed,17-Jun-2020,0833,Makanan,1.0,20000,45000
20170,01041,02067,0402,11070,Thu,18-Jun-2020,1403,Makanan,4.2,20000,30000
20171,01081,02004,0401,11071,Fri,19-Jun-2020,0926,Makanan,2.5,20000,6000
20172,01039,02013,0401,11072,Sat,20-Jun-2020,1302,Makanan,4.8,20000,15000
20173,01019,02096,0402,11073,Sun,21-Jun-2020,0832,Makanan,3.7,20000,8000
20174,01083,02090,0401,11074,Mon,22-Jun-2020,1528,Makanan,3.8,20000,8000
20175,01083,02010,0401,11075,Tue,23-Jun-2020,1202,Makanan,4.7,20000,8000
20176,01066,02049,0402,11076,Wed,24-Jun-2020,1228,Makanan,2.8,20000,16000
20177,01087,02063,0401,11077,Thu,25-Jun-2020,1634,Makanan,1.1,20000,15000
20178,01060,02053,0403,11078,Fri,26-Jun-2020,0856,Makanan,4.7,20000,24000
20179,01014,02062,0401,11079,Sat,27-Jun-2020,1651,Makanan,4.6,20000,6000
20180,01064,02090,0402,11080,Sun,28-Jun-2020,1653,Makanan,4.1,20000,30000
20181,01020,02085,0403,11081,Mon,29-Jun-2020,1219,Makanan,2.0,20000,45000
20182,01043,02084,0403,11082,Tue,30-Jun-2020,1620,Makanan,2.7,20000,12000
20183,01096,02098,0402,11083,Wed,1-Jul-2020,0909,Makanan,3.1,20000,8000
20184,01017,02048,0403,11084,Thu,2-Jul-2020,1337,Makanan,2.9,20000,45000
20185,01003,02048,0402,11085,Fri,3-Jul-2020,0924,Makanan,2.9,20000,30000
20186,01095,02028,0401,11086,Sat,4-Jul-2020,1151,Makanan,1.4,20000,15000
20187,01035,02081,0403,11087,Sun,5-Jul-2020,1245,Makanan,1.6,20000,45000
20188,01093,02006,0403,11088,Mon,6-Jul-2020,1234,Makanan,4.9,20000,12000
20189,01001,02053,0402,11089,Tue,7-Jul-2020,1353,Makanan,3.9,20000,30000
20190,01022,02096,0403,11090,Wed,8-Jul-2020,0816,Makanan,4.4,20000,24000
20191,01005,02023,0402,11091,Thu,9-Jul-2020,1626,Makanan,1.7,20000,12000
20192,01075,02100,0401,11092,Fri,10-Jul-2020,0737,Makanan,0.5,20000,15000
20193,01090,02011,0403,11093,Sat,11-Jul-2020,1156,Makanan,3.0,20000,24000
20194,01076,02062,0403,11094,Sun,12-Jul-2020,1017,Makanan,1.4,20000,45000
20195,01018,02032,0402,11095,Mon,13-Jul-2020,0819,Makanan,3.8,20000,8000
20196,01097,02067,0403,11096,Tue,14-Jul-2020,1636,Makanan,3.1,20000,45000
20197,01061,02034,0403,11097,Wed,15-Jul-2020,1017,Makanan,3.2,20000,12000
20198,01042,02036,0402,11098,Thu,16-Jul-2020,1341,Makanan,2.7,20000,30000
20199,01027,02039,0403,11099,Fri,17-Jul-2020,1449,Makanan,5.0,20000,12000
20200,01037,02073,0402,11100,Sat,18-Jul-2020,1404,Makanan,1.8,20000,30000
20201,01081,02098,0402,11001,Sun,19-Jul-2020,0812,Minuman,1.1,10000,12000
20202,01078,02035,0403,11002,Mon,20-Jul-2020,1224,Minuman,5.0,10000,18000
20203,01010,02017,0403,11003,Tue,21-Jul-2020,1135,Minuman,1.5,10000,45000
20204,01093,02001,0403,11004,Wed,22-Jul-2020,0850,Minuman,3.9,10000,24000
20205,01064,02082,0403,11005,Thu,23-Jul-2020,1034,Minuman,3.8,10000,45000
20206,01039,02085,0402,11006,Fri,24-Jul-2020,1153,Minuman,3.8,10000,8000
20207,01035,02041,0402,11007,Sat,25-Jul-2020,1340,Minuman,4.5,10000,30000
20208,01030,02089,0403,11008,Sun,26-Jul-2020,1654,Minuman,2.0,10000,45000
20209,01041,02036,0403,11009,Mon,27-Jul-2020,0959,Minuman,4.5,10000,12000
20210,01080,02010,0403,11010,Tue,28-Jul-2020,0901,Minuman,1.8,10000,24000
20211,01019,02062,0402,11011,Wed,29-Jul-2020,1437,Minuman,3.9,10000,16000
20212,01045,02065,0402,11012,Thu,30-Jul-2020,1209,Minuman,2.1,10000,8000
20213,01072,02022,0402,11013,Fri,31-Jul-2020,1629,Minuman,2.4,10000,12000
20214,01025,02093,0401,11014,Sat,1-Aug-2020,1348,Minuman,2.5,10000,15000
20215,01003,02097,0403,11015,Sun,2-Aug-2020,1416,Minuman,1.7,10000,45000
20216,01016,02050,0402,11016,Mon,3-Aug-2020,1058,Minuman,1.6,10000,30000
20217,01040,02018,0401,11017,Tue,4-Aug-2020,1224,Minuman,4.2,10000,15000
20218,01055,02094,0403,11018,Wed,5-Aug-2020,1651,Minuman,3.3,10000,12000
20219,01070,02009,0403,11019,Thu,6-Aug-2020,1255,Minuman,1.6,10000,45000
20220,01068,02093,0402,11020,Fri,7-Aug-2020,0940,Minuman,2.0,10000,16000
20221,01067,02057,0401,11021,Sat,8-Aug-2020,1512,Minuman,4.5,10000,15000
20222,01070,02005,0401,11022,Sun,9-Aug-2020,1553,Minuman,2.6,10000,6000
20223,01002,02013,0402,11023,Mon,10-Aug-2020,1658,Minuman,2.3,10000,8000
20224,01086,02041,0401,11024,Tue,11-Aug-2020,1047,Minuman,1.3,10000,6000
20225,01072,02064,0401,11025,Wed,12-Aug-2020,0835,Minuman,1.2,10000,6000
20226,01074,02013,0401,11026,Thu,13-Aug-2020,0902,Minuman,4.8,10000,8000
20227,01027,02041,0402,11027,Fri,14-Aug-2020,1147,Minuman,4.3,10000,12000
20228,01024,02004,0403,11028,Sat,15-Aug-2020,1611,Minuman,3.5,10000,18000
20229,01070,02066,0401,11029,Sun,16-Aug-2020,1024,Minuman,1.0,10000,4000
20230,01056,02024,0401,11030,Mon,17-Aug-2020,1527,Minuman,1.7,10000,15000
20231,01051,02099,0403,11031,Tue,18-Aug-2020,0823,Minuman,3.6,10000,24000
20232,01087,02003,0401,11032,Wed,19-Aug-2020,1447,Minuman,2.2,10000,15000
20233,01003,02070,0401,11033,Thu,20-Aug-2020,1136,Minuman,3.5,10000,15000
20234,01094,02063,0403,11034,Fri,21-Aug-2020,1425,Minuman,2.4,10000,45000
20235,01093,02068,0401,11035,Sat,22-Aug-2020,1203,Minuman,3.2,10000,15000
20236,01018,02018,0402,11036,Sun,23-Aug-2020,1622,Minuman,1.3,10000,30000
20237,01093,02059,0402,11037,Mon,24-Aug-2020,0921,Minuman,4.5,10000,16000
20238,01024,02028,0402,11038,Tue,25-Aug-2020,0820,Minuman,4.6,10000,16000
20239,01039,02043,0403,11039,Wed,26-Aug-2020,1446,Minuman,1.9,10000,45000
20240,01054,02075,0403,11040,Thu,27-Aug-2020,1626,Minuman,2.5,10000,45000
20241,01055,02076,0403,11041,Fri,28-Aug-2020,1355,Minuman,2.5,10000,18000
20242,01062,02031,0401,11042,Sat,29-Aug-2020,0749,Minuman,0.7,10000,6000
20243,01018,02044,0403,11043,Sun,30-Aug-2020,0747,Minuman,1.3,10000,45000
20244,01052,02024,0402,11044,Mon,31-Aug-2020,1438,Minuman,2.5,10000,30000
20245,01014,02100,0401,11045,Tue,1-Sep-2020,1544,Minuman,4.6,10000,6000
20246,01020,02092,0402,11046,Wed,2-Sep-2020,1335,Minuman,2.1,10000,12000
20247,01098,02016,0403,11047,Thu,3-Sep-2020,0746,Minuman,4.9,10000,18000
20248,01075,02027,0402,11048,Fri,4-Sep-2020,1103,Minuman,4.4,10000,30000
20249,01066,02017,0401,11049,Sat,5-Sep-2020,1241,Minuman,2.3,10000,15000
20250,01043,02089,0402,11050,Sun,6-Sep-2020,1353,Minuman,1.4,10000,8000
20251,01091,02002,0402,11051,Mon,7-Sep-2020,1652,Minuman,0.7,10000,8000
20252,01096,02024,0403,11052,Tue,8-Sep-2020,1556,Minuman,2.1,10000,45000
20253,01057,02004,0403,11053,Wed,9-Sep-2020,1047,Minuman,1.2,10000,24000
20254,01094,02089,0403,11054,Thu,10-Sep-2020,0943,Minuman,4.1,10000,24000
20255,01060,02073,0403,11055,Fri,11-Sep-2020,0850,Minuman,4.8,10000,24000
20256,01092,02055,0401,11056,Sat,12-Sep-2020,1511,Minuman,2.9,10000,15000
20257,01072,02032,0401,11057,Sun,13-Sep-2020,1117,Minuman,0.9,10000,6000
20258,01067,02098,0401,11058,Mon,14-Sep-2020,1323,Minuman,4.2,10000,15000
20259,01001,02029,0402,11059,Tue,15-Sep-2020,1655,Minuman,4.2,10000,30000
20260,01073,02049,0403,11060,Wed,16-Sep-2020,1104,Minuman,3.7,10000,24000
20261,01002,02062,0401,11061,Thu,17-Sep-2020,0852,Minuman,3.5,10000,8000
20262,01036,02068,0401,11062,Fri,18-Sep-2020,0904,Minuman,1.4,10000,15000
20263,01046,02099,0403,11063,Sat,19-Sep-2020,1527,Minuman,0.5,10000,24000
20264,01014,02010,0403,11064,Sun,20-Sep-2020,0741,Minuman,3.0,10000,24000
20265,01004,02042,0402,11065,Mon,21-Sep-2020,1209,Minuman,1.7,10000,30000
20266,01042,02094,0401,11066,Tue,22-Sep-2020,1303,Minuman,3.7,10000,6000
20267,01081,02004,0401,11067,Wed,23-Sep-2020,1650,Minuman,3.9,10000,6000
20268,01060,02099,0402,11068,Thu,24-Sep-2020,0733,Minuman,3.5,10000,8000
20269,01070,02060,0402,11069,Fri,25-Sep-2020,1206,Minuman,4.7,10000,8000
20270,01035,02034,0403,11070,Sat,26-Sep-2020,0839,Minuman,1.3,10000,45000
20271,01075,02040,0401,11071,Sun,27-Sep-2020,1524,Minuman,0.7,10000,15000
20272,01011,02062,0402,11072,Mon,28-Sep-2020,1306,Minuman,4.0,10000,8000
20273,01008,02039,0401,11073,Tue,29-Sep-2020,1348,Minuman,1.3,10000,15000
20274,01090,02024,0403,11074,Wed,30-Sep-2020,1052,Minuman,4.0,10000,45000
20275,01076,02080,0402,11075,Thu,1-Oct-2020,1050,Minuman,1.7,10000,30000
20276,01078,02065,0402,11076,Fri,2-Oct-2020,0923,Minuman,2.6,10000,8000
20277,01059,02092,0401,11077,Sat,3-Oct-2020,1605,Minuman,4.9,10000,15000
20278,01083,02077,0401,11078,Sun,4-Oct-2020,1408,Minuman,4.6,10000,15000
20279,01084,02007,0401,11079,Mon,5-Oct-2020,1507,Minuman,3.1,10000,4000
20280,01001,02037,0402,11080,Tue,6-Oct-2020,1242,Minuman,1.1,10000,30000
20281,01013,02028,0402,11081,Wed,7-Oct-2020,0749,Minuman,1.5,10000,16000
20282,01095,02059,0402,11082,Thu,8-Oct-2020,1503,Minuman,3.6,10000,30000
20283,01096,02090,0402,11083,Fri,9-Oct-2020,1551,Minuman,3.2,10000,16000
20284,01007,02041,0403,11084,Sat,10-Oct-2020,0926,Minuman,3.4,10000,12000
20285,01012,02083,0401,11085,Sun,11-Oct-2020,0755,Minuman,1.8,10000,15000
20286,01093,02026,0401,11086,Mon,12-Oct-2020,1403,Minuman,3.4,10000,8000
20287,01088,02037,0401,11087,Tue,13-Oct-2020,1613,Minuman,3.8,10000,8000
20288,01049,02074,0402,11088,Wed,14-Oct-2020,1657,Minuman,1.1,10000,16000
20289,01014,02018,0403,11089,Thu,15-Oct-2020,1432,Minuman,2.9,10000,45000
20290,01068,02016,0402,11090,Fri,16-Oct-2020,0732,Minuman,2.7,10000,16000
20291,01048,02099,0402,11091,Sat,17-Oct-2020,0916,Minuman,4.8,10000,16000
20292,01038,02029,0402,11092,Sun,18-Oct-2020,1154,Minuman,1.6,10000,8000
20293,01056,02076,0403,11093,Mon,19-Oct-2020,0846,Minuman,0.9,10000,18000
20294,01078,02027,0402,11094,Tue,20-Oct-2020,0846,Minuman,3.5,10000,12000
20295,01037,02066,0402,11095,Wed,21-Oct-2020,0703,Minuman,4.9,10000,30000
20296,01048,02095,0402,11096,Thu,22-Oct-2020,1630,Minuman,2.2,10000,8000
20297,01049,02066,0403,11097,Fri,23-Oct-2020,1518,Minuman,2.7,10000,24000
20298,01073,02044,0401,11098,Sat,24-Oct-2020,1049,Minuman,0.9,10000,15000
20299,01061,02030,0401,11099,Sun,25-Oct-2020,1434,Minuman,3.8,10000,4000
